lon,lat,ï..EIN,NAME,STREET,ZIP,SUBSECTION,CLASSIFICATION,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,NTEE,codes,ZIP_FIVE,Location
-76.5580574,39.3392118,475228835,ALUMNI OF MARYLAND SCHOOLS ARTS PROGRAMS,3810 RIDGECROFT RD,21206-5025,3,1000,NA,NA,NA,A01,NA,A,"Arts, Culture and Humanities",21206,"3810 RIDGECROFT RD, BALTIMORE, MD, 21206"
-76.6147988,39.3043745,822325043,SHARE YOUR SERVICE INC,1228 SAINT PAUL ST APT 4,21202-2742,3,1200,NA,NA,NA,A01,NA,A,"Arts, Culture and Humanities",21202,"1228 SAINT PAUL ST APT 4, BALTIMORE, MD, 21202"
-76.62268569999999,39.2987856,237336424,ARENA PLAYERS INC,801 MCCULLOH ST,21201-2118,3,3000,4703,99361,99361,A03,NA,A,"Arts, Culture and Humanities",21201,"801 MCCULLOH ST, BALTIMORE, MD, 21201"
-76.6110911,39.2875918,222710588,MUSEUM TRUSTEE ASSOCIATION,211 E LOMBARD STREET SUITE 179,21202-6102,3,1000,156919,194917,194917,A030,ASSOCIATION,A,"Arts, Culture and Humanities",21202,"211 E LOMBARD STREET SUITE 179, BALTIMORE, MD, 21202"
-76.5718528,39.2867151,521919988,FELLS POINT CREATIVE ALLIANCE INC,3134 EASTERN AVENUE,21224-3963,3,1200,4032161,2384609,2271328,A030,NA,A,"Arts, Culture and Humanities",21224,"3134 EASTERN AVENUE, BALTIMORE, MD, 21224"
-76.4731816,39.3251175,452950554,EASTERN TECHNICAL MUSIC BOOSTERS INC,1100 MACE AVE,21221-3315,3,1000,0,0,0,A11,NA,A,"Arts, Culture and Humanities",21221,"1100 MACE AVE, BALTIMORE, MD, 21221"
NA,NA,474229494,I AM ME FOUNDATION,6217 PIONEER DR,21214-1546,3,1230,NA,NA,NA,A11,NA,A,"Arts, Culture and Humanities",21214,"6217 PIONEER DR, BALTIMORE, MD, 21214"
-76.60611449999999,39.2873829,820658936,ACRC LESSOR INC,111 MARKET PL STE 800,21202-4035,3,1000,NA,NA,NA,A11,NA,A,"Arts, Culture and Humanities",21202,"111 MARKET PL STE 800, BALTIMORE, MD, 21202"
-76.6354952,39.3566383,522070055,BALTIMORE CONSERVATORY ASSOCIATION INC,PO BOX 5668,21210-0668,3,1000,180411,46412,42558,A110,NA,A,"Arts, Culture and Humanities",21210,"PO BOX 5668, BALTIMORE, MD, 21210"
-76.61645039999999,39.2965173,521194738,WALTERS ART MUSEUM FOUNDATION INC,600 N CHARLES ST,21201-5118,3,1000,2594109,1214759,220068,A115,NA,A,"Arts, Culture and Humanities",21201,"600 N CHARLES ST, BALTIMORE, MD, 21201"
NA,NA,273154529,CAHILL RECREATION AND PERFORMING ARTS COUNCIL INC,4001 CLIFTON AVE,21216-2403,3,1000,0,0,0,A12,NA,A,"Arts, Culture and Humanities",21216,"4001 CLIFTON AVE, BALTIMORE, MD, 21216"
-76.6114857,39.2874119,273499748,STAR-SPANGLED 200 INC,111 S CALVERT ST STE 1700,21202-6137,3,1000,691715,432323,432323,A12,NA,A,"Arts, Culture and Humanities",21202,"111 S CALVERT ST STE 1700, BALTIMORE, MD, 21202"
-76.6608677,39.2478922,474478353,SHANESTOCK FOUNDATION INC,165 HALF POULTON STREET,21227-0000,3,1000,0,0,0,A12,NA,A,"Arts, Culture and Humanities",21227,"165 HALF POULTON STREET, BALTIMORE, MD, 21227"
-76.6786329,39.2607517,522259802,CASEY CARES FOUNDATION INC,3918 VERO RD STE C,21227-1522,3,1000,888360,1721392,1296535,A12,NA,A,"Arts, Culture and Humanities",21227,"3918 VERO RD STE C, BALTIMORE, MD, 21227"
-76.6121893,39.2903848,651201495,NATIONAL PIPE BAND FOUNDATION INC,PO BOX 47428,21244-0428,3,1000,134793,25042,NA,A12,NA,A,"Arts, Culture and Humanities",21244,"PO BOX 47428, BALTIMORE, MD, 21244"
-76.6424878,39.3307521,811830920,DANCE FOUNDATION OF MARYLAND INC,3600 CLIPPER MILL RD STE 108,21211-1950,3,1000,0,0,0,A12,NA,A,"Arts, Culture and Humanities",21211,"3600 CLIPPER MILL RD STE 108, BALTIMORE, MD, 21211"
-76.55852039999999,39.3591491,814617783,RLK INCORPORATION,6100 OLD HARFORD RD,21214-1714,3,1000,NA,NA,NA,A12,NA,A,"Arts, Culture and Humanities",21214,"6100 OLD HARFORD RD, BALTIMORE, MD, 21214"
-76.6145097,39.2913108,521169382,MID ATLANTIC ARTS FOUNDATION INC,201 N CHARLES ST STE 401,21201-4199,3,1000,5297687,4447158,4447158,A120,NA,A,"Arts, Culture and Humanities",21201,"201 N CHARLES ST STE 401, BALTIMORE, MD, 21201"
-76.618326,39.30043999999999,264833762,ROSENFELD ORG INC,851 PARK AVE,21201-4817,3,1000,0,0,0,A19,NA,A,"Arts, Culture and Humanities",21201,"851 PARK AVE, BALTIMORE, MD, 21201"
-76.5613084,39.3542798,141935094,NYAME NTI CULTURAL HEALING ARTS THERAPY INC,2818 EVERGREEN AVE,21214-1735,3,1000,0,0,0,A20,NA,A,"Arts, Culture and Humanities",21214,"2818 EVERGREEN AVE, BALTIMORE, MD, 21214"
NA,NA,203366845,MUSE 360 INCORPORATED,847 N HOWARD ST,21201-4605,3,2100,12705,91938,91938,A20,NA,A,"Arts, Culture and Humanities",21201,"847 N HOWARD ST, BALTIMORE, MD, 21201"
-76.6286964,39.3454627,204916479,NANA PROJECTS INC,4504 WILMSLOW RD,21210-2528,3,2100,0,11225,11225,A20,NA,A,"Arts, Culture and Humanities",21210,"4504 WILMSLOW RD, BALTIMORE, MD, 21210"
-76.5184064,39.3396535,263601722,WECUDA - USA INC,5106 CYNTHIA CT,21206-3002,3,1000,NA,NA,NA,A20,NA,A,"Arts, Culture and Humanities",21206,"5106 CYNTHIA CT, BALTIMORE, MD, 21206"
-76.62807169999999,39.3278447,271830644,MAKE STUDIO ART PROGRAM INC,3326 KESWICK RD,21211-2629,3,1200,35328,185104,173784,A20,MAKE STUDIO,A,"Arts, Culture and Humanities",21211,"3326 KESWICK RD, BALTIMORE, MD, 21211"
-76.6154449,39.31362,273639279,EMP COLLECTIVE INC,2108 SAINT PAUL ST APT 1,21218-5857,3,1200,0,0,0,A20,NA,A,"Arts, Culture and Humanities",21218,"2108 SAINT PAUL ST APT 1, BALTIMORE, MD, 21218"
-76.7154809,39.3135664,311681858,HARAMBEE AFRICAN FEMALE RITES OF PASSAGE COLLECTIVE PROGRAM PROCESS,5530 CLIFTON AVE,21207-5901,3,1200,0,0,0,A20,NA,A,"Arts, Culture and Humanities",21207,"5530 CLIFTON AVE, BALTIMORE, MD, 21207"
-76.4911551,39.4139213,364338930,NAGAR ASSOCIATION OF GREATER AMERICAN REGIONS INC,6 BELLROCK CT,21236-4715,3,1000,0,0,0,A20,NA,A,"Arts, Culture and Humanities",21236,"6 BELLROCK CT, BALTIMORE, MD, 21236"
-76.6121893,39.2903848,364590444,URBAN YOUTH INITIATIVE PROJECT INC,PO BOX 22393,21203-4393,3,1200,0,0,0,A20,NA,A,"Arts, Culture and Humanities",21203,"PO BOX 22393, BALTIMORE, MD, 21203"
-76.601522,39.287519,452399813,CONFRATERNITY OF ST GABRIEL INC,216 S EXETER ST,21202-4410,3,1000,246082,23920,23920,A20,NA,A,"Arts, Culture and Humanities",21202,"216 S EXETER ST, BALTIMORE, MD, 21202"
-76.7040719,39.3717881,453808079,MOSAIC MAKERS INC,3312 SHELBURNE RD,21208-5625,3,1200,4577,10782,10782,A20,NA,A,"Arts, Culture and Humanities",21208,"3312 SHELBURNE RD, BALTIMORE, MD, 21208"
-76.56659599999999,39.3241954,474215326,KREATIVE INFLUENCE,3131 DUDLEY AVE,21213-1709,3,1000,NA,NA,NA,A20,NA,A,"Arts, Culture and Humanities",21213,"3131 DUDLEY AVE, BALTIMORE, MD, 21213"
-76.6201287,39.2941772,474403074,LE MONDO INC,406 N HOWARD ST,21201-3602,3,1000,67227,95737,95737,A20,NA,A,"Arts, Culture and Humanities",21201,"406 N HOWARD ST, BALTIMORE, MD, 21201"
-76.6289187,39.314244,474554872,CREATIVE NOMADS LTD,2107 PARK AVE APT 4,21217-4854,3,2000,NA,NA,NA,A20,NA,A,"Arts, Culture and Humanities",21217,"2107 PARK AVE APT 4, BALTIMORE, MD, 21217"
